Age,Income,LoanAmount,CreditScore,EmploymentStatus,LoanTerm,PreviousDefaults,DebtToIncomeRatio,MaritalStatus,Education,Default
29,77429.53,9425.83,631.0,Employed,12,1,0.46,Married,Bachelors,0
47,52406.42,10285.83,619.0,Unemployed,24,0,0.51,Married,High School,1
57,57201.36,16778.32,708.0,Employed,36,0,0.4,Married,High School,0
33,70488.52,19178.01,648.0,Employed,36,0,0.32,Single,Bachelors,0
55,92381.46,6062.51,466.0,Employed,24,0,0.23,Married,Bachelors,0
44,51664.82,17270.01,598.0,Retired,48,0,0.81,Single,Masters,0
49,56073.35,11691.16,587.0,Employed,36,0,0.2,Single,High School,0
21,101320.48,9737.32,677.0,Employed,48,2,0.29,Single,Bachelors,0
29,16247.97,12695.69,764.0,Employed,36,0,0.53,Single,High School,0
57,55186.35,12108.3,703.0,Employed,24,3,0.24,Single,Bachelors,1
48,15000.0,19418.4,717.0,Self-Employed,48,0,0.33,Single,Masters,0
45,58439.78,2862.61,641.0,Employed,12,0,0.32,Single,High School,0
55,67833.97,17529.25,745.0,Unemployed,36,1,0.24,Single,High School,0
53,74325.37,9249.34,492.0,Self-Employed,24,0,0.29,Single,PhD,0
64,73675.72,21787.45,461.0,Employed,12,0,0.27,Married,Bachelors,1
55,34741.2,14947.83,644.0,Self-Employed,48,0,0.06,Single,High School,0
33,45590.99,18094.47,678.0,Unemployed,36,0,0.17,Married,Bachelors,1
51,93560.87,24231.21,545.0,Employed,36,3,0.09,Married,Bachelors,0
40,15000.0,21844.45,578.0,Employed,12,0,0.77,Single,High School,1
48,58525.21,24847.0,632.0,Employed,60,2,0.48,Married,Masters,1
53,76391.08,13501.37,586.0,Unemployed,48,0,0.37,Married,High School,0
46,94789.41,14687.84,731.0,Employed,48,0,0.31,Married,Bachelors,0
30,72220.64,22011.65,572.0,Retired,12,1,0.08,Single,High School,0
28,95543.84,15875.27,625.0,Self-Employed,60,2,,Married,Bachelors,1
34,86492.38,18609.8,650.0,Employed,12,0,0.25,Married,Bachelors,0
50,45284.33,9060.13,679.0,Employed,24,0,0.32,Single,Masters,0
24,80569.08,24743.67,730.0,Retired,12,0,0.49,Married,High School,0
41,31386.95,18331.57,684.0,Employed,36,0,0.22,Married,Masters,1
43,68890.58,17539.63,718.0,Employed,36,3,0.37,Single,Bachelors,0
34,35139.4,9978.13,602.0,Employed,60,2,0.54,Divorced,High School,1
52,71543.38,28411.14,683.0,Employed,36,1,0.25,Single,Bachelors,0
59,47179.07,14236.29,506.0,Self-Employed,12,0,0.74,Single,Bachelors,1
63,43416.67,10599.08,731.0,Employed,36,0,0.23,Single,PhD,0
59,92011.73,17020.55,696.0,Unemployed,48,3,0.42,Divorced,Bachelors,1
64,36564.64,25236.15,632.0,Employed,36,1,0.46,Single,High School,0
41,63485.48,13155.8,630.0,Employed,48,0,0.08,Married,Masters,0
26,53737.02,11351.03,676.0,Retired,48,2,0.34,Single,Bachelors,0
37,76835.76,7669.81,563.0,Self-Employed,36,0,0.79,Divorced,High School,1
64,63058.75,6149.65,668.0,Employed,36,2,0.24,Single,Bachelors,0
63,63892.54,12691.61,597.0,Self-Employed,48,0,0.61,Married,Bachelors,0
48,25955.89,29457.57,690.0,Employed,36,0,0.48,Single,Bachelors,0
33,74947.29,9163.18,555.0,Employed,36,0,0.38,Married,Masters,0
48,58075.58,30700.7,575.0,Employed,12,0,0.36,Married,Bachelors,1
42,59380.11,1956.21,646.0,Self-Employed,36,0,0.25,Single,Masters,0
47,54508.52,10792.96,607.0,Self-Employed,12,0,0.54,Married,PhD,0
55,51991.87,1000.0,629.0,Employed,48,0,0.3,Single,High School,0
31,41911.53,12950.56,601.0,Self-Employed,48,0,0.05,Single,Bachelors,0
26,61843.56,5374.39,530.0,Employed,36,1,0.27,Single,Bachelors,1
57,26489.75,19347.84,588.0,Employed,36,0,0.2,Divorced,High School,1
48,67941.16,14209.24,628.0,Employed,36,3,0.25,Single,Bachelors,1
41,71444.52,20124.34,439.0,Self-Employed,24,2,0.23,Married,Bachelors,1
42,46731.5,4446.02,664.0,Retired,12,0,0.32,Single,Masters,1
60,68063.8,15655.96,590.0,Employed,48,3,0.61,Single,Bachelors,1
46,41071.79,10162.04,660.0,Employed,60,0,,Married,Bachelors,0
55,69768.68,16130.06,694.0,Unemployed,24,0,0.51,Married,PhD,0
54,86900.53,26608.01,549.0,Employed,24,0,0.22,Single,Bachelors,0
46,51850.72,16733.0,,Self-Employed,48,0,0.54,Single,Bachelors,0
31,58565.53,16374.71,569.0,Employed,24,0,0.62,Married,Masters,1
49,63864.12,6221.58,568.0,Employed,48,3,0.05,Divorced,Bachelors,1
48,68378.75,26853.31,699.0,Employed,48,0,0.32,Married,High School,1
49,36734.38,23469.83,525.0,Employed,48,0,0.45,Single,Masters,1
61,61237.07,20541.78,724.0,Employed,36,2,0.27,Single,Bachelors,1
60,43275.58,5871.93,671.0,Employed,36,0,0.38,Married,Masters,0
22,30396.18,20431.45,705.0,Self-Employed,48,1,0.54,Married,Bachelors,0
45,79401.48,5482.67,,Employed,36,1,0.62,Single,Masters,1
24,70092.83,17704.19,585.0,Retired,36,0,0.26,Divorced,Bachelors,0
42,48021.37,12537.53,517.0,Employed,48,0,0.53,Married,High School,1
49,79217.56,26283.67,597.0,Unemployed,24,0,0.29,Married,PhD,1
27,29987.7,11327.28,690.0,Employed,24,0,0.26,Single,Bachelors,0
48,63922.27,5324.18,570.0,Employed,12,1,0.13,Single,High School,1
25,84046.8,1150.39,704.0,Employed,24,0,0.3,Married,High School,0
41,47002.72,24600.63,652.0,Employed,60,0,0.4,Single,PhD,1
64,59692.13,8729.97,626.0,Employed,12,3,0.34,Married,Masters,1
52,42342.82,21562.75,583.0,Employed,60,0,0.23,Married,High School,1
39,67267.01,1000.0,586.0,Employed,48,1,0.59,Married,Bachelors,0
51,66669.05,4723.33,708.0,Employed,24,1,0.58,Married,High School,0
54,15000.0,12724.92,612.0,Employed,36,1,0.45,Single,High School,1
58,71786.63,10878.25,719.0,Self-Employed,48,0,0.5,Married,Masters,0
57,75111.32,28978.91,760.0,Employed,24,1,0.35,Married,High School,0
46,71632.49,19976.56,691.0,Employed,12,1,0.54,Married,High School,0
48,30343.55,1000.0,713.0,Employed,60,3,0.62,Single,Masters,1
37,72964.18,9344.86,680.0,Employed,24,0,0.25,Single,PhD,0
25,58321.92,10717.47,765.0,Employed,24,0,0.31,Married,PhD,0
22,88373.67,1000.0,582.0,Employed,24,1,0.36,Single,Bachelors,0
29,46200.71,1000.0,815.0,Employed,48,0,0.26,Single,High School,0
39,76750.59,14615.29,628.0,Employed,12,0,0.28,Married,Bachelors,0
50,71113.48,18888.29,650.0,Employed,24,1,0.15,Married,Bachelors,0
29,58913.79,12734.89,637.0,Self-Employed,24,0,0.36,Divorced,High School,0
56,62184.45,3805.55,718.0,Employed,48,1,0.41,Married,Bachelors,0
49,38201.18,16422.0,513.0,Employed,36,0,0.68,Married,Masters,1
58,66853.8,19278.54,563.0,Employed,24,1,0.26,Married,High School,0
62,63486.43,21312.45,535.0,Employed,48,0,0.26,Single,Masters,0
60,29079.08,9302.61,584.0,Employed,12,2,0.06,Single,Bachelors,1
48,44529.74,1651.21,808.0,Self-Employed,24,1,0.02,Single,Masters,0
37,48932.45,4262.98,696.0,Employed,12,0,0.02,Single,Bachelors,0
36,53962.86,8953.67,570.0,Retired,12,0,0.32,Single,High School,0
21,48300.28,10345.74,724.0,Employed,24,0,0.18,Married,Bachelors,0
64,45484.9,14107.93,674.0,Employed,24,0,0.33,Divorced,Bachelors,1
62,58361.8,16930.58,728.0,Self-Employed,12,3,0.32,Married,Masters,1
56,37029.63,28007.67,659.0,Employed,24,0,0.52,Married,High School,1
25,64244.8,20431.58,728.0,Employed,36,0,0.43,Married,Masters,1
23,71108.64,27185.91,614.0,Employed,60,0,0.44,Single,Bachelors,1
27,74647.12,20005.05,694.0,Employed,48,2,0.22,Single,Bachelors,0
57,74597.48,5608.96,689.0,Retired,36,0,0.36,Married,High School,0
23,50956.6,22149.58,629.0,Employed,60,1,0.48,Married,Bachelors,0
57,67745.96,1000.0,746.0,Employed,36,0,0.14,Single,High School,0
33,43313.0,13617.59,779.0,Retired,48,0,0.23,Divorced,Masters,0
59,17525.27,12188.69,639.0,Employed,36,0,0.25,Single,High School,0
25,62079.72,16074.37,558.0,Employed,36,0,0.27,Single,Masters,0
21,45963.02,26781.37,530.0,Employed,36,2,0.02,Single,Masters,1
57,84556.27,6691.65,549.0,Employed,24,0,0.02,Single,High School,0
57,75686.92,17025.32,630.0,Employed,36,0,0.27,Single,Bachelors,0
39,42613.29,5100.59,620.0,Employed,48,0,0.37,Married,Masters,0
45,37389.29,28480.11,622.0,Self-Employed,24,0,0.43,Single,High School,1
23,67797.28,21054.31,673.0,Employed,60,0,0.54,Single,Masters,0
51,96747.93,24361.59,704.0,Employed,24,1,0.21,Single,High School,0
53,33226.46,16184.72,679.0,Employed,36,0,0.36,Divorced,Bachelors,1
48,65510.71,10790.02,585.0,Employed,12,0,0.19,Single,Bachelors,0
54,101830.3,10515.14,593.0,Employed,48,2,0.37,Single,Bachelors,0
53,61169.06,22457.53,479.0,Employed,48,0,0.32,Divorced,Bachelors,1
42,58258.39,16127.86,547.0,Employed,48,3,0.42,Single,Masters,1
32,85310.7,19881.73,594.0,Retired,24,0,0.51,Single,Bachelors,1
46,56368.1,15368.02,682.0,Employed,48,0,0.47,Married,Masters,0
41,65049.88,13095.12,685.0,Employed,24,0,0.18,Married,Bachelors,0
23,63002.85,13250.77,633.0,Employed,24,0,0.53,Single,High School,0
52,55684.06,16523.39,794.0,Self-Employed,12,0,0.37,Single,Masters,1
24,58300.48,7162.23,683.0,Employed,36,0,0.23,Married,Bachelors,0
47,65675.82,17670.88,660.0,,36,0,0.51,Married,Masters,0
48,54704.39,17337.54,515.0,Employed,48,3,0.28,Single,Masters,1
36,33623.23,6598.87,621.0,Employed,12,0,0.39,Married,High School,0
22,74178.65,1000.0,571.0,Unemployed,36,1,0.37,Single,Bachelors,1
22,53974.98,15988.38,615.0,Employed,48,0,0.42,Divorced,Masters,0
54,46581.38,16802.11,764.0,Employed,36,0,0.47,Single,Bachelors,0
46,54939.26,15409.58,601.0,Employed,24,0,0.23,Single,Masters,1
59,60917.72,11708.05,707.0,Self-Employed,12,3,0.32,Married,Masters,0
40,22983.04,22176.53,676.0,Retired,48,0,0.38,Married,Bachelors,0
34,36782.12,28599.66,623.0,Unemployed,24,0,0.52,Single,High School,1
26,52507.79,28565.78,656.0,Retired,48,2,0.43,Married,Masters,1
49,65631.79,11919.83,612.0,Employed,60,0,0.34,Divorced,High School,0
52,54330.0,21077.7,674.0,Employed,36,0,0.13,Married,Masters,0
24,63586.73,28620.12,749.0,Retired,48,0,0.55,Divorced,Bachelors,1
50,45683.0,7507.95,605.0,Retired,24,0,0.4,Single,Masters,0
21,85106.3,7951.45,721.0,Employed,48,0,0.37,Divorced,Bachelors,0
40,38464.26,7604.27,669.0,Employed,24,0,0.36,Single,High School,1
55,76607.45,33171.6,667.0,Self-Employed,48,0,0.5,Single,Masters,0
22,64784.8,5382.8,671.0,Self-Employed,24,1,0.24,Single,Bachelors,0
40,59888.42,11696.02,637.0,Employed,24,0,0.32,Married,High School,0
34,99023.54,19790.36,636.0,Employed,24,1,0.29,Divorced,Bachelors,0
61,41760.46,16851.57,610.0,,24,1,0.4,Single,Bachelors,0
44,54565.75,22121.98,755.0,Employed,24,0,0.49,Married,High School,0
28,23685.15,10765.34,642.0,Employed,24,1,0.46,Single,High School,1
62,60022.39,29788.87,607.0,Employed,12,0,0.41,Divorced,Masters,0
55,45442.05,10687.02,684.0,Employed,12,0,0.17,Single,Bachelors,0
34,48253.23,2715.42,666.0,Employed,48,0,0.65,Married,Bachelors,0
38,73545.1,14547.29,609.0,Self-Employed,48,0,0.56,Divorced,Masters,1
46,68687.46,16598.48,683.0,Employed,24,0,0.41,Married,High School,0
53,52997.93,7973.42,508.0,Employed,24,0,0.17,Divorced,High School,0
61,51333.87,2457.12,500.0,Self-Employed,36,0,0.38,Single,Bachelors,1
56,28935.75,7886.07,613.0,Self-Employed,12,0,0.28,Divorced,Masters,0
36,67750.42,13163.61,687.0,Retired,36,0,0.33,Single,Bachelors,0
38,48955.88,29474.45,652.0,Employed,36,0,0.32,Divorced,Bachelors,1
48,48454.98,10261.15,707.0,Self-Employed,24,2,0.59,Single,Masters,1
32,37594.43,20859.94,600.0,Employed,36,0,0.34,Divorced,High School,0
42,78215.55,15150.55,690.0,Employed,36,0,0.1,Married,Masters,0
53,58562.39,23307.03,634.0,Employed,48,0,0.02,Divorced,Bachelors,0
33,51335.55,37947.22,697.0,Employed,60,2,0.22,Married,PhD,1
56,72349.82,21234.79,501.0,Self-Employed,24,0,0.39,Single,Bachelors,0
30,62634.99,19413.93,551.0,Employed,48,0,0.31,Married,High School,0
29,36522.72,20960.04,710.0,Self-Employed,24,1,0.66,Married,High School,0
52,76538.29,9327.83,600.0,Unemployed,24,1,0.53,Single,Masters,1
65,61733.02,23464.95,649.0,Unemployed,24,2,0.1,Married,Masters,1
43,80023.74,31688.38,668.0,Employed,60,1,0.13,Divorced,Masters,1
22,88239.47,17592.46,700.0,Self-Employed,12,2,0.43,Single,Masters,0
59,73258.66,21831.81,787.0,Employed,24,0,0.54,Married,Bachelors,0
46,60387.27,10488.42,589.0,Employed,36,0,0.44,Single,Masters,0
63,33937.97,10844.83,735.0,Employed,48,0,0.45,Married,High School,0
58,58456.88,15636.78,703.0,Employed,36,0,0.39,Single,Bachelors,0
47,45558.64,12364.42,578.0,Unemployed,12,0,0.23,Divorced,Masters,1
21,40272.42,15361.78,623.0,Self-Employed,48,2,0.61,Single,Masters,0
21,57160.56,18593.75,749.0,Self-Employed,12,0,0.42,Single,Bachelors,0
35,57535.95,26979.45,688.0,Employed,36,0,0.18,Single,High School,0
38,66931.86,16164.17,790.0,Employed,48,1,0.38,Single,Masters,0
37,69683.27,25769.81,568.0,Employed,12,0,0.27,Married,Masters,0
36,45365.77,11231.0,725.0,Self-Employed,24,2,0.5,Single,High School,0
26,67762.07,6547.54,702.0,Employed,60,0,0.73,Single,High School,0
34,40116.15,35092.45,681.0,Unemployed,24,1,0.23,Divorced,High School,1
36,18248.77,19816.95,710.0,Employed,24,2,0.46,Single,High School,0
49,49940.19,15619.84,736.0,Employed,48,0,0.45,Single,High School,1
25,96380.17,14608.82,632.0,Employed,24,0,0.14,Single,Masters,0
27,59806.9,18856.53,478.0,Unemployed,48,0,0.15,Married,Masters,1
25,58198.62,21996.14,537.0,Self-Employed,48,1,0.38,Single,Bachelors,1
65,37205.36,22802.5,812.0,,36,0,0.34,Married,Masters,0
23,15199.56,6104.26,647.0,Employed,60,0,0.32,Married,Masters,0
50,58537.99,12430.06,722.0,Employed,60,1,0.35,Single,High School,0
25,62082.74,4316.15,667.0,Employed,36,0,0.38,Single,Masters,0
54,49775.06,7435.94,762.0,Employed,36,0,0.29,Married,Bachelors,0
47,37154.94,21735.87,636.0,Unemployed,36,0,0.23,Married,Masters,0
36,29246.05,17160.46,741.0,Employed,48,3,0.6,Single,Masters,1
56,62740.75,17479.99,552.0,Unemployed,60,2,0.34,Divorced,PhD,1
24,60086.44,22112.3,620.0,Employed,60,1,0.11,Married,High School,1
43,93970.04,8343.51,577.0,Unemployed,60,0,0.26,Married,Masters,0
41,92354.7,4702.69,588.0,Employed,36,0,0.53,Married,PhD,0
22,62551.58,1000.0,766.0,Employed,48,0,0.22,Single,High School,0
46,75894.88,15147.21,639.0,Employed,48,0,0.38,Married,Masters,0
60,54277.16,1000.0,634.0,Employed,60,0,0.6,Married,Bachelors,0
59,62348.55,19503.05,648.0,Retired,48,0,0.31,Divorced,High School,0
45,26993.88,1000.0,724.0,Employed,60,0,0.39,Single,Bachelors,0
43,86586.3,15191.22,802.0,Employed,48,0,0.36,Married,High School,0
30,62124.46,9324.47,581.0,Employed,24,0,0.42,Married,Bachelors,0
63,57393.45,13442.42,564.0,Retired,24,0,0.41,Married,Bachelors,0
27,70661.22,12593.12,653.0,Employed,48,0,0.27,Married,PhD,0
64,53999.48,5898.51,525.0,Employed,12,0,0.41,Divorced,Masters,1
65,78431.34,8470.26,632.0,Employed,60,0,0.28,Married,Bachelors,0
44,29407.41,20456.56,546.0,Retired,48,2,0.39,Married,Masters,1
22,66390.07,14575.03,569.0,Employed,36,0,0.22,Single,High School,0
52,49459.99,10717.32,789.0,Employed,12,0,0.36,Divorced,High School,0
58,44175.38,33253.21,812.0,Employed,36,1,0.37,Married,High School,0
28,66392.77,16552.86,671.0,Employed,48,3,0.26,Single,Masters,0
22,87624.07,13428.27,694.0,Self-Employed,12,0,0.41,Single,Bachelors,0
45,57996.14,16734.2,663.0,Unemployed,24,0,0.29,Married,Bachelors,1
59,42321.81,31098.16,701.0,Employed,24,0,0.29,Divorced,High School,1
27,66778.58,20212.18,627.0,Employed,48,0,0.32,Single,Bachelors,0
64,55331.81,23091.7,607.0,Employed,36,1,0.45,Single,Bachelors,1
61,37186.69,8758.41,473.0,Self-Employed,36,0,0.44,Single,High School,1
43,53711.18,1000.0,676.0,Self-Employed,24,0,0.35,Single,Masters,0
44,85042.39,13255.63,763.0,Self-Employed,24,3,0.41,Married,PhD,0
49,79878.86,19066.15,643.0,Unemployed,60,0,0.39,Single,Masters,0
30,70003.52,17385.27,771.0,Retired,48,1,0.53,Single,Bachelors,0
44,62104.09,16055.42,653.0,Self-Employed,24,0,0.47,Single,Bachelors,1
64,37187.11,26226.96,614.0,Self-Employed,60,2,0.22,Married,Masters,1
23,68432.56,5959.45,560.0,Employed,48,0,0.51,Divorced,Bachelors,1
52,93612.68,20771.83,630.0,Employed,36,0,0.02,Married,Masters,0
28,63221.56,13107.56,850.0,Self-Employed,36,0,0.33,Single,Bachelors,0
25,43498.69,1000.0,652.0,Employed,24,0,0.28,Single,PhD,0
55,61883.38,5657.76,657.0,Self-Employed,24,1,0.45,Single,Bachelors,0
31,32903.06,6830.7,774.0,Employed,12,0,0.63,Divorced,Masters,0
30,,18478.16,640.0,Unemployed,48,0,0.3,Single,Bachelors,0
38,83677.36,18278.1,800.0,Employed,36,1,0.5,Divorced,High School,0
35,32610.46,24467.95,550.0,Employed,24,0,0.42,Divorced,High School,1
52,46980.95,14580.76,663.0,Self-Employed,12,0,0.39,Married,Bachelors,1
48,53410.92,6433.18,492.0,Self-Employed,48,0,0.53,Single,Masters,1
44,62186.02,18628.07,688.0,Employed,36,0,0.41,Married,Bachelors,1
46,75894.88,15147.21,639.0,Employed,48,0,0.38,Married,Masters,0
50,61092.94,17976.84,666.0,Employed,24,1,0.43,Divorced,High School,1
50,54549.51,5545.01,624.0,Employed,36,0,0.45,Single,Bachelors,0
22,50923.29,7274.68,679.0,Employed,12,1,0.36,Married,Masters,0
31,53996.16,26490.68,666.0,Employed,24,0,0.33,Single,Bachelors,0
34,40017.6,9256.65,761.0,Employed,24,0,0.23,Single,Bachelors,0
39,70361.48,11672.26,687.0,Employed,60,0,0.2,Single,Masters,0
25,81868.39,14094.98,676.0,Employed,12,0,0.4,Divorced,Bachelors,0
32,80368.25,21761.26,656.0,Self-Employed,48,1,0.37,Married,PhD,0
43,77459.36,29254.39,671.0,Employed,12,3,0.64,Married,Masters,1
55,48328.94,11834.55,665.0,Self-Employed,48,1,0.48,Single,Bachelors,0
33,68187.52,8088.94,733.0,Employed,36,0,0.45,Married,High School,0
25,57550.9,25843.54,563.0,Self-Employed,48,3,0.2,Married,Masters,1
31,,1747.01,615.0,Employed,24,0,0.09,Single,Bachelors,1
46,41438.48,16112.48,733.0,Self-Employed,60,0,0.67,Single,Bachelors,0
44,43992.68,18090.59,665.0,Employed,24,0,0.38,Married,Bachelors,1
43,47084.84,9915.54,662.0,Unemployed,24,0,0.6,Divorced,High School,0
51,82531.91,18705.48,582.0,Employed,48,1,0.47,Divorced,PhD,1
51,60790.56,24098.52,530.0,Employed,60,0,0.38,Single,High School,1
45,25382.82,9443.2,741.0,Self-Employed,36,1,0.31,Divorced,Bachelors,0
52,40295.16,17298.63,626.0,Self-Employed,24,3,0.41,Married,High School,1
53,42097.2,28696.32,694.0,Employed,24,1,0.34,Married,Bachelors,1
55,61789.81,16717.71,627.0,Retired,48,0,0.59,Single,Bachelors,0
59,,25644.6,773.0,Self-Employed,12,2,0.3,Single,Masters,0
24,92107.06,21524.01,628.0,Self-Employed,36,0,,Single,Bachelors,0
42,58944.71,17867.63,829.0,Self-Employed,24,0,0.36,Married,High School,0
33,35135.39,19125.02,651.0,Employed,36,1,0.17,Married,Masters,0
25,28271.84,28027.75,738.0,Self-Employed,36,0,0.07,Married,Bachelors,1
21,30751.73,19044.71,576.0,Self-Employed,36,0,0.4,Married,Bachelors,1
23,83932.22,4789.56,716.0,Employed,48,0,0.22,Married,Masters,0
42,51232.17,6807.77,766.0,,24,0,0.52,Married,Bachelors,0
25,66433.09,2621.57,585.0,Employed,48,1,0.35,Divorced,Bachelors,0
40,48175.7,15099.99,658.0,Self-Employed,48,1,0.38,Single,Masters,0
65,41423.03,25546.42,739.0,Employed,36,0,0.44,Divorced,Bachelors,1
37,57890.33,20648.63,706.0,Retired,12,3,0.54,Single,Bachelors,1
53,79841.64,24577.98,662.0,Self-Employed,36,0,0.08,Single,High School,0
42,36155.6,18931.44,592.0,Employed,24,0,0.45,Married,Bachelors,0
58,53660.2,14505.89,616.0,Self-Employed,12,1,0.44,Married,High School,0
52,55535.61,17408.86,652.0,Employed,36,1,0.18,Married,Masters,1
57,39196.31,17773.68,800.0,Employed,24,0,0.58,Divorced,Masters,0
52,50337.24,1000.0,614.0,Employed,48,0,0.34,Divorced,High School,0
44,37434.28,11273.56,598.0,Employed,36,2,0.38,Married,Bachelors,1
63,51892.71,20716.88,584.0,Employed,12,0,0.32,Married,Masters,0
52,30669.68,27584.16,704.0,Employed,36,0,0.38,Married,Bachelors,0
49,72932.8,9135.74,601.0,Employed,24,2,0.26,Married,High School,1
62,27582.64,17017.92,576.0,Employed,36,1,0.25,Married,High School,1
45,60533.32,18732.36,695.0,Unemployed,24,0,0.21,Married,Bachelors,0
34,35540.86,14685.54,720.0,Employed,48,0,0.53,Married,High School,0
52,82061.17,14018.33,708.0,Self-Employed,48,0,0.35,Married,Masters,0
51,81045.6,28910.81,779.0,Unemployed,36,2,0.48,Married,Masters,0
61,40533.86,4756.36,553.0,Employed,36,1,0.02,Married,High School,1
56,46112.38,29544.5,625.0,Unemployed,12,0,0.59,Married,High School,1
57,48468.91,3758.48,598.0,Employed,48,0,,Married,Masters,0
34,24535.64,17372.6,689.0,Employed,48,1,0.37,Married,Masters,0
44,36925.47,27503.11,726.0,Employed,36,0,0.22,Divorced,High School,0
44,23168.09,29861.62,576.0,Employed,48,0,0.4,Single,Masters,1
50,48532.74,26106.7,684.0,Employed,24,0,0.32,Single,Masters,0
43,,1000.0,624.0,Unemployed,36,0,0.12,Married,Bachelors,0
55,73794.9,18661.49,603.0,Retired,12,0,0.56,Married,Masters,0
29,88922.55,13416.5,684.0,Employed,48,0,0.38,Married,Masters,0
28,55788.61,8225.19,764.0,Employed,36,0,0.43,Married,High School,0
59,42594.62,3823.05,575.0,Unemployed,24,2,0.24,Single,High School,0
44,40871.83,9263.87,674.0,Employed,60,2,0.35,Married,Bachelors,1
28,26730.99,12353.69,760.0,Self-Employed,24,0,0.19,Married,Bachelors,0
49,49555.55,13808.25,654.0,Employed,48,0,0.21,Single,Masters,0
45,51991.81,33179.48,668.0,Employed,36,0,0.3,Single,High School,0
56,86247.35,10331.21,716.0,Employed,60,2,0.25,Divorced,High School,0
43,84401.77,13884.82,652.0,Self-Employed,36,0,0.29,Single,High School,0
34,41377.69,1000.0,757.0,Retired,60,0,0.44,Divorced,Bachelors,0
58,65798.72,21678.01,718.0,Unemployed,36,0,0.02,Married,Bachelors,1
